IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
141.98.196.223,443,true,NRT,亚太,JP,日本,东京,92 ms,16.63
202.144.192.76,443,true,NRT,亚太,JP,日本,东京,127 ms,15.89
13.250.131.37,443,true,SIN,亚太,SG,新加坡,新加坡,60 ms,11.81
193.122.114.82,443,true,ICN,亚太,KR,韩国,首尔,195 ms,9.30
64.176.42.6,443,true,KIX,亚太,JP,日本,大阪,200 ms,8.39
52.141.25.42,443,true,ICN,亚太,KR,韩国,首尔,104 ms,8.12
152.70.90.168,443,true,ICN,亚太,KR,韩国,首尔,196 ms,7.31
18.183.158.211,443,true,NRT,亚太,JP,日本,东京,79 ms,7.11
64.176.52.132,443,true,KIX,亚太,JP,日本,大阪,166 ms,6.52
64.176.38.232,443,true,KIX,亚太,JP,日本,大阪,200 ms,5.52
141.147.159.250,443,true,KIX,亚太,JP,日本,大阪,207 ms,5.05
185.126.80.195,443,true,SIN,亚太,SG,新加坡,新加坡,194 ms,4.89
8.219.177.109,443,true,SIN,亚太,SG,新加坡,新加坡,187 ms,4.54
8.219.238.113,443,true,SIN,亚太,SG,新加坡,新加坡,193 ms,4.51
129.154.194.191,443,true,ICN,亚太,KR,韩国,首尔,197 ms,4.38
141.147.147.180,443,true,KIX,亚太,JP,日本,大阪,200 ms,4.38
166.88.61.227,443,true,HKG,亚太,HK,香港,香港,116 ms,4.10
146.56.191.75,443,true,ICN,亚太,KR,韩国,首尔,199 ms,4.07
152.70.232.72,443,true,ICN,亚太,KR,韩国,首尔,200 ms,3.96
8.222.255.57,443,true,SIN,亚太,SG,新加坡,新加坡,193 ms,3.87
146.56.141.197,443,true,ICN,亚太,KR,韩国,首尔,173 ms,3.77
83.147.13.199,443,true,TPE,亚太,TW,台湾,台北,195 ms,3.13
43.156.153.48,443,true,SIN,亚太,SG,新加坡,新加坡,62 ms,2.49
164.52.2.98,443,true,SIN,亚太,SG,新加坡,新加坡,204 ms,2.35
164.52.2.100,443,true,SIN,亚太,SG,新加坡,新加坡,211 ms,2.35
8.219.203.176,443,true,SIN,亚太,SG,新加坡,新加坡,189 ms,2.25
140.245.88.197,443,true,NRT,亚太,JP,日本,东京,141 ms,2.06
43.206.192.211,443,true,NRT,亚太,JP,日本,东京,58 ms,1.85
13.250.14.76,443,true,SIN,亚太,SG,新加坡,新加坡,53 ms,1.64
116.204.210.10,443,true,HKG,亚太,HK,香港,香港,46 ms,1.23
130.162.130.105,443,true,ICN,亚太,KR,韩国,首尔,180 ms,1.05
202.144.195.204,443,true,NRT,亚太,JP,日本,东京,86 ms,1.00
13.230.34.30,443,true,NRT,亚太,JP,日本,东京,86 ms,0.84
54.169.229.188,443,true,SIN,亚太,SG,新加坡,新加坡,55 ms,0.60
164.52.2.99,443,true,SIN,亚太,SG,新加坡,新加坡,214 ms,0.58
132.145.94.80,443,true,ICN,亚太,KR,韩国,首尔,175 ms,0.50
156.234.17.144,443,true,HKG,亚太,HK,香港,香港,44 ms,0.43
52.74.101.26,443,true,SIN,亚太,SG,新加坡,新加坡,58 ms,0.42
217.142.243.226,443,true,KIX,亚太,JP,日本,大阪,172 ms,0.35
47.245.117.0,443,true,SIN,亚太,SG,新加坡,新加坡,204 ms,0.23
8.222.165.104,443,true,SIN,亚太,SG,新加坡,新加坡,196 ms,0.19
52.76.137.189,443,true,SIN,亚太,SG,新加坡,新加坡,52 ms,0.12
207.148.105.247,443,true,NRT,亚太,JP,日本,东京,120 ms,0.09
154.31.113.72,443,true,NRT,亚太,JP,日本,东京,124 ms,0.07
43.156.181.203,443,true,SIN,亚太,SG,新加坡,新加坡,60 ms,0.07
150.109.11.223,443,true,SIN,亚太,SG,新加坡,新加坡,60 ms,0.06
128.1.132.82,443,true,HKG,亚太,HK,香港,香港,45 ms,0.06
43.156.116.194,443,true,SIN,亚太,SG,新加坡,新加坡,61 ms,0.05
144.24.65.251,443,true,ICN,亚太,KR,韩国,首尔,130 ms,0.05
140.245.79.66,443,true,ICN,亚太,KR,韩国,首尔,133 ms,0.04
103.118.40.47,443,true,TPE,亚太,TW,台湾,台北,41 ms,0.03
8.222.218.155,443,true,SIN,亚太,SG,新加坡,新加坡,189 ms,0.02
158.101.77.33,443,true,NRT,亚太,JP,日本,东京,127 ms,0.00
155.248.181.189,443,true,NRT,亚太,JP,日本,东京,124 ms,0.00
132.226.235.135,443,true,LAX,北美洲,US,美国,洛杉矶,174 ms,0.00
64.110.79.188,443,true,ICN,亚太,KR,韩国,首尔,201 ms,0.00
45.76.198.248,443,true,NRT,亚太,JP,日本,东京,137 ms,0.00
193.122.125.223,443,true,ICN,亚太,KR,韩国,首尔,194 ms,0.00
158.180.82.186,443,true,ICN,亚太,KR,韩国,首尔,127 ms,0.00
51.79.158.126,443,true,SIN,亚太,SG,新加坡,新加坡,176 ms,0.00
168.138.46.67,443,true,KIX,亚太,JP,日本,大阪,203 ms,0.00
